
INSERT INTO jugador VALUES(10000, 'Mario', 'Argul', 'Acosta', TO_DATE('1983-8-2', 'YYYY-MM-DD'),1, 'PORTERO','0');
INSERT INTO jugador VALUES(10336, 'Noel', 'Sayas', 'Saravia', TO_DATE('1989-5-3', 'YYYY-MM-DD'),15, 'DELANTERO','14');
INSERT INTO jugador VALUES(10337, 'Ciro', 'Bard', 'Marta', TO_DATE('1994-6-8', 'YYYY-MM-DD'),16, 'DEFENSA','14');
INSERT INTO jugador VALUES(10338, 'Eithan', 'Hernandez', 'Solis', TO_DATE('1990-12-13', 'YYYY-MM-DD'),17, 'DEFENSA','14');
INSERT INTO jugador VALUES(10339, 'Eithan', 'Santini', 'Fernandez', TO_DATE('1991-9-14', 'YYYY-MM-DD'),18, 'PORTERO','14');
INSERT INTO jugador VALUES(10340, 'Thiago', 'Martinez', 'Dominguez', TO_DATE('1993-12-22', 'YYYY-MM-DD'),19, 'DELANTERO','14');
INSERT INTO jugador VALUES(10341, 'Nil', 'Barreneche', 'Arigon', TO_DATE('1995-9-3', 'YYYY-MM-DD'),20, 'DEFENSA','14');
INSERT INTO jugador VALUES(10342, 'Romeo', 'Arenas', 'Tidemann', TO_DATE('1986-2-14', 'YYYY-MM-DD'),21, 'PORTERO','14');
INSERT INTO jugador VALUES(10343, 'Mirt', 'Pisano', 'Acuña', TO_DATE('1989-9-24', 'YYYY-MM-DD'),22, 'PORTERO','14');
INSERT INTO jugador VALUES(10344, 'Mateo', 'Viana', 'Calvo', TO_DATE('1991-5-28', 'YYYY-MM-DD'),23, 'MEDIOCAMPISTA','14');
INSERT INTO jugador VALUES(10345, 'Jano', 'Braida', 'Larrosa', TO_DATE('1986-4-5', 'YYYY-MM-DD'),1, 'PORTERO','15');
INSERT INTO jugador VALUES(10346, 'Yael', 'Laguna', 'Fasanello', TO_DATE('1992-1-15', 'YYYY-MM-DD'),2, 'DEFENSA','15');
INSERT INTO jugador VALUES(10347, 'Mateo', 'Da silva', 'Martinez', TO_DATE('1993-2-23', 'YYYY-MM-DD'),3, 'DEFENSA','15');
INSERT INTO jugador VALUES(10348, 'Bastian', 'Fraga', 'Lambantov', TO_DATE('1989-8-28', 'YYYY-MM-DD'),4, 'DEFENSA','15');
INSERT INTO jugador VALUES(10349, 'Miguel', 'Pongibove', 'Apelian', TO_DATE('1987-4-15', 'YYYY-MM-DD'),5, 'DEFENSA','15');
INSERT INTO jugador VALUES(10350, 'Miguel', 'Lorenzo', 'Pacheco', TO_DATE('1989-8-11', 'YYYY-MM-DD'),6, 'MEDIOCAMPISTA','15');
INSERT INTO jugador VALUES(10351, 'Nil', 'Alfaro', 'Pereyra', TO_DATE('1983-2-23', 'YYYY-MM-DD'),7, 'MEDIOCAMPISTA','15');
INSERT INTO jugador VALUES(10352, 'Mario', 'Fernandez', 'Bellinzona', TO_DATE('1993-10-3', 'YYYY-MM-DD'),8, 'MEDIOCAMPISTA','15');
INSERT INTO jugador VALUES(10353, 'Eric', 'Pereira', 'Alouy', TO_DATE('1993-10-14', 'YYYY-MM-DD'),9, 'DELANTERO','15');
INSERT INTO jugador VALUES(10354, 'Darwin', 'Dahlquist', 'Araujo', TO_DATE('1991-7-18', 'YYYY-MM-DD'),10, 'DELANTERO','15');
INSERT INTO jugador VALUES(10355, 'Ian', 'Santos', 'Carrera', TO_DATE('1987-10-17', 'YYYY-MM-DD'),11, 'DELANTERO','15');
INSERT INTO jugador VALUES(10356, 'Uriel', 'Lasso', 'Texeira', TO_DATE('1995-10-20', 'YYYY-MM-DD'),12, 'MEDIOCAMPISTA','15');
INSERT INTO jugador VALUES(10357, 'Areu', 'Paolino', 'Setelich', TO_DATE('1992-7-1', 'YYYY-MM-DD'),13, 'PORTERO','15');
INSERT INTO jugador VALUES(10358, 'Nil', 'Cambom', 'Pino', TO_DATE('1991-10-9', 'YYYY-MM-DD'),14, 'MEDIOCAMPISTA','15');
INSERT INTO jugador VALUES(10359, 'Brais', 'Zaballa', 'Osvaldo', TO_DATE('1985-4-11', 'YYYY-MM-DD'),15, 'PORTERO','15');
INSERT INTO jugador VALUES(10360, 'Carlos', 'Galione', 'Da costa', TO_DATE('1990-11-28', 'YYYY-MM-DD'),16, 'DELANTERO','15');
INSERT INTO jugador VALUES(10361, 'Santiago', 'Rodriguez', 'Costa', TO_DATE('1987-3-7', 'YYYY-MM-DD'),17, 'DELANTERO','15');
INSERT INTO jugador VALUES(10362, 'Irvin', 'Sandoval', 'Sanchis', TO_DATE('1990-12-12', 'YYYY-MM-DD'),18, 'DELANTERO','15');
INSERT INTO jugador VALUES(10363, 'Aarón', 'Ivanchenko', 'Casas', TO_DATE('1995-2-13', 'YYYY-MM-DD'),19, 'PORTERO','15');
INSERT INTO jugador VALUES(10364, 'Sebastián', 'Molinari', 'Garcia', TO_DATE('1988-4-14', 'YYYY-MM-DD'),20, 'MEDIOCAMPISTA','15');
INSERT INTO jugador VALUES(10365, 'Mario', 'Balsas', 'Santellano', TO_DATE('1988-9-4', 'YYYY-MM-DD'),21, 'PORTERO','15');
INSERT INTO jugador VALUES(10366, 'Edgar', 'Gonzalez', 'Izquierdo', TO_DATE('1991-12-13', 'YYYY-MM-DD'),22, 'DELANTERO','15');
INSERT INTO jugador VALUES(10367, 'Noah', 'Vetey', 'Asenjo', TO_DATE('1991-12-19', 'YYYY-MM-DD'),23, 'PORTERO','15');
INSERT INTO jugador VALUES(10368, 'Lucho', 'Furlan', 'Fredes', TO_DATE('1987-12-24', 'YYYY-MM-DD'),1, 'PORTERO','16');
INSERT INTO jugador VALUES(10369, 'Otto', 'Cambom', 'Gonzalez', TO_DATE('1983-7-4', 'YYYY-MM-DD'),2, 'DEFENSA','16');
INSERT INTO jugador VALUES(10370, 'Fabricio', 'Correa', 'Pesce', TO_DATE('1989-10-7', 'YYYY-MM-DD'),3, 'DEFENSA','16');
INSERT INTO jugador VALUES(10371, 'Diego', 'Bernardez', 'Izquierdo', TO_DATE('1983-2-18', 'YYYY-MM-DD'),4, 'DEFENSA','16');
INSERT INTO jugador VALUES(10372, 'Mateo', 'Saralegui', 'Ungo', TO_DATE('1986-7-8', 'YYYY-MM-DD'),5, 'DEFENSA','16');
INSERT INTO jugador VALUES(10373, 'Enzo', 'Garcia', 'Irigoyen', TO_DATE('1992-8-10', 'YYYY-MM-DD'),6, 'MEDIOCAMPISTA','16');
INSERT INTO jugador VALUES(10374, 'Guido', 'Correa', 'Bove', TO_DATE('1990-12-11', 'YYYY-MM-DD'),7, 'MEDIOCAMPISTA','16');
INSERT INTO jugador VALUES(10375, 'Nil', 'Claustre', 'Miraldi', TO_DATE('1991-12-4', 'YYYY-MM-DD'),8, 'MEDIOCAMPISTA','16');
INSERT INTO jugador VALUES(10376, 'Edgar', 'Yaquinta', 'Nebot', TO_DATE('1985-7-1', 'YYYY-MM-DD'),9, 'DELANTERO','16');
INSERT INTO jugador VALUES(10377, 'Otto', 'Moreno', 'Ferrari', TO_DATE('1983-12-8', 'YYYY-MM-DD'),10, 'DELANTERO','16');
INSERT INTO jugador VALUES(10378, 'Nil', 'Perez', 'Arguello', TO_DATE('1996-7-11', 'YYYY-MM-DD'),11, 'DELANTERO','16');
INSERT INTO jugador VALUES(10379, 'Iol', 'Vazquez', 'Pereyra', TO_DATE('1990-2-25', 'YYYY-MM-DD'),12, 'MEDIOCAMPISTA','16');
INSERT INTO jugador VALUES(10380, 'Edric', 'Silva', 'De las heras', TO_DATE('1992-11-25', 'YYYY-MM-DD'),13, 'MEDIOCAMPISTA','16');
INSERT INTO jugador VALUES(10381, 'Saúl', 'Martinez', 'Martinez', TO_DATE('1985-1-3', 'YYYY-MM-DD'),14, 'DEFENSA','16');
INSERT INTO jugador VALUES(10382, 'Leonardo', 'Rossini', 'Szalmian', TO_DATE('1996-8-28', 'YYYY-MM-DD'),15, 'PORTERO','16');
INSERT INTO jugador VALUES(10383, 'Thiago', 'Cruz', 'Casas', TO_DATE('1991-6-1', 'YYYY-MM-DD'),16, 'DELANTERO','16');
INSERT INTO jugador VALUES(10384, 'Irvin', 'Gomez', 'Zunini', TO_DATE('1984-11-3', 'YYYY-MM-DD'),17, 'DELANTERO','16');
INSERT INTO jugador VALUES(10385, 'Joel', 'Lotito', 'Berhquet', TO_DATE('1989-11-12', 'YYYY-MM-DD'),18, 'DEFENSA','16');
INSERT INTO jugador VALUES(10386, 'Elián', 'Ibarguren', 'Nieto', TO_DATE('1991-12-10', 'YYYY-MM-DD'),19, 'MEDIOCAMPISTA','16');
INSERT INTO jugador VALUES(10387, 'Ariel', 'Martinez', 'Bardier', TO_DATE('1994-2-22', 'YYYY-MM-DD'),20, 'MEDIOCAMPISTA','16');
INSERT INTO jugador VALUES(10388, 'Gael', 'Pereira', 'Alboa', TO_DATE('1997-3-14', 'YYYY-MM-DD'),21, 'DEFENSA','16');
INSERT INTO jugador VALUES(10389, 'Alonso', 'Vega', 'Silvestri', TO_DATE('1992-8-14', 'YYYY-MM-DD'),22, 'DELANTERO','16');
INSERT INTO jugador VALUES(10390, 'Yannick', 'Goro', 'Canzani', TO_DATE('1996-4-24', 'YYYY-MM-DD'),23, 'DEFENSA','16');
INSERT INTO jugador VALUES(10391, 'Elián', 'Arismendi', 'Beherens', TO_DATE('1988-2-14', 'YYYY-MM-DD'),1, 'PORTERO','17');
INSERT INTO jugador VALUES(10392, 'Ricardo', 'Ibiñete', 'Arigon', TO_DATE('1987-5-24', 'YYYY-MM-DD'),2, 'DEFENSA','17');
INSERT INTO jugador VALUES(10393, 'Edgar', 'Cazabonnet', 'Prats', TO_DATE('1985-9-27', 'YYYY-MM-DD'),3, 'DEFENSA','17');
INSERT INTO jugador VALUES(10394, 'Barad', 'Silver', 'Ferreira', TO_DATE('1997-1-5', 'YYYY-MM-DD'),4, 'DEFENSA','17');
INSERT INTO jugador VALUES(10395, 'Ezequiel', 'Gonzalez', 'Medina', TO_DATE('1997-6-4', 'YYYY-MM-DD'),5, 'DEFENSA','17');
INSERT INTO jugador VALUES(10396, 'Ricardo', 'Canessa', 'Rodriguez', TO_DATE('1993-1-9', 'YYYY-MM-DD'),6, 'MEDIOCAMPISTA','17');
INSERT INTO jugador VALUES(10397, 'Tiziano', 'Leoncini', 'Pongibove', TO_DATE('1983-10-3', 'YYYY-MM-DD'),7, 'MEDIOCAMPISTA','17');
INSERT INTO jugador VALUES(10398, 'Ángel', 'Ramos', 'Chiavone', TO_DATE('1987-3-4', 'YYYY-MM-DD'),8, 'MEDIOCAMPISTA','17');
INSERT INTO jugador VALUES(10399, 'Thiago', 'Sum', 'Machado', TO_DATE('1997-7-8', 'YYYY-MM-DD'),9, 'DELANTERO','17');
INSERT INTO jugador VALUES(10400, 'Sergio', 'Izquierdo', 'Curiel', TO_DATE('1986-10-23', 'YYYY-MM-DD'),10, 'DELANTERO','17');
INSERT INTO jugador VALUES(10401, 'Diego', 'Guaraglia', 'Wasser', TO_DATE('1992-8-9', 'YYYY-MM-DD'),11, 'DELANTERO','17');
INSERT INTO jugador VALUES(10402, 'Eloy', 'Gomez', 'De leon', TO_DATE('1995-5-18', 'YYYY-MM-DD'),12, 'DEFENSA','17');
INSERT INTO jugador VALUES(10403, 'Elroy', 'Dutruel', 'Mendaro', TO_DATE('1996-4-23', 'YYYY-MM-DD'),13, 'PORTERO','17');
INSERT INTO jugador VALUES(10404, 'Mirt', 'Demarco', 'Daguerre', TO_DATE('1997-12-6', 'YYYY-MM-DD'),14, 'PORTERO','17');
INSERT INTO jugador VALUES(10405, 'Ezequiel', 'Hackembruch', 'Blengio', TO_DATE('1993-6-25', 'YYYY-MM-DD'),15, 'MEDIOCAMPISTA','17');
INSERT INTO jugador VALUES(10406, 'Bruno', 'Silva', 'Inciura', TO_DATE('1988-8-5', 'YYYY-MM-DD'),16, 'DELANTERO','17');
INSERT INTO jugador VALUES(10407, 'Ariel', 'Buschiazzo', 'Filpi', TO_DATE('1987-6-9', 'YYYY-MM-DD'),17, 'MEDIOCAMPISTA','17');
INSERT INTO jugador VALUES(10408, 'Ian', 'Morandi', 'Reboredo', TO_DATE('1985-9-28', 'YYYY-MM-DD'),18, 'PORTERO','17');
INSERT INTO jugador VALUES(10409, 'Mateo', 'Esqueff', 'Colombo', TO_DATE('1990-12-20', 'YYYY-MM-DD'),19, 'DEFENSA','17');
INSERT INTO jugador VALUES(10410, 'Iol', 'Estrada', 'Gonzalez', TO_DATE('1987-4-23', 'YYYY-MM-DD'),20, 'DEFENSA','17');
INSERT INTO jugador VALUES(10411, 'Mirt', 'Serron', 'Castro', TO_DATE('1985-9-21', 'YYYY-MM-DD'),21, 'MEDIOCAMPISTA','17');
INSERT INTO jugador VALUES(10412, 'Andry', 'Pardo', 'Cacciante', TO_DATE('1994-6-9', 'YYYY-MM-DD'),22, 'MEDIOCAMPISTA','17');
INSERT INTO jugador VALUES(10413, 'Noel', 'Mendizabal', 'Liotti', TO_DATE('1990-1-14', 'YYYY-MM-DD'),23, 'DELANTERO','17');
INSERT INTO jugador VALUES(10414, 'Acfred', 'Sander', 'Montaner', TO_DATE('1991-8-17', 'YYYY-MM-DD'),1, 'PORTERO','18');
INSERT INTO jugador VALUES(10415, 'Andry', 'Morales', 'Piriz', TO_DATE('1987-7-25', 'YYYY-MM-DD'),2, 'DEFENSA','18');
INSERT INTO jugador VALUES(10416, 'Darwin', 'Salomon', 'Delfino', TO_DATE('1996-10-19', 'YYYY-MM-DD'),3, 'DEFENSA','18');
INSERT INTO jugador VALUES(10417, 'Gabriel', 'Mendez', 'Cantoni', TO_DATE('1992-1-17', 'YYYY-MM-DD'),4, 'DEFENSA','18');
INSERT INTO jugador VALUES(10418, 'Ízan', 'De mello', 'Suarez', TO_DATE('1989-5-12', 'YYYY-MM-DD'),5, 'DEFENSA','18');
INSERT INTO jugador VALUES(10419, 'Ariel', 'Gronros', 'Hernandez', TO_DATE('1995-8-10', 'YYYY-MM-DD'),6, 'MEDIOCAMPISTA','18');
INSERT INTO jugador VALUES(10420, 'Marco', 'Delfino', 'Cerchi', TO_DATE('1991-8-13', 'YYYY-MM-DD'),7, 'MEDIOCAMPISTA','18');
INSERT INTO jugador VALUES(10421, 'Nil', 'Cabrera', 'Olmos', TO_DATE('1984-12-6', 'YYYY-MM-DD'),8, 'MEDIOCAMPISTA','18');
INSERT INTO jugador VALUES(10422, 'Zigor', 'Piegas', 'Bonilla', TO_DATE('1990-9-21', 'YYYY-MM-DD'),9, 'DELANTERO','18');
INSERT INTO jugador VALUES(10423, 'Aarón', 'Amaro', 'Silva', TO_DATE('1993-10-20', 'YYYY-MM-DD'),10, 'DELANTERO','18');
INSERT INTO jugador VALUES(10424, 'Diego', 'Sosa', 'Valverde', TO_DATE('1984-4-3', 'YYYY-MM-DD'),11, 'DELANTERO','18');
INSERT INTO jugador VALUES(10425, 'Julio', 'Monnet', 'Crosa', TO_DATE('1995-12-24', 'YYYY-MM-DD'),12, 'DEFENSA','18');
INSERT INTO jugador VALUES(10426, 'Víctor', 'Sastre', 'Goytiño', TO_DATE('1990-2-24', 'YYYY-MM-DD'),13, 'DELANTERO','18');
INSERT INTO jugador VALUES(10427, 'Eros', 'Listur', 'Araujo', TO_DATE('1988-8-15', 'YYYY-MM-DD'),14, 'MEDIOCAMPISTA','18');
INSERT INTO jugador VALUES(10428, 'Jerald', 'Mañana', 'Preza', TO_DATE('1994-4-3', 'YYYY-MM-DD'),15, 'DEFENSA','18');
INSERT INTO jugador VALUES(10429, 'Uriel', 'De souza', 'Santa maria', TO_DATE('1995-8-22', 'YYYY-MM-DD'),16, 'MEDIOCAMPISTA','18');
INSERT INTO jugador VALUES(10430, 'Aitor', 'Marini', 'Tusso', TO_DATE('1988-2-21', 'YYYY-MM-DD'),17, 'MEDIOCAMPISTA','18');
INSERT INTO jugador VALUES(10431, 'Ezequiel', 'Pastorino', 'Viera', TO_DATE('1993-12-24', 'YYYY-MM-DD'),18, 'DELANTERO','18');
INSERT INTO jugador VALUES(10432, 'Jerald', 'Fernandez', 'Calvo', TO_DATE('1991-9-24', 'YYYY-MM-DD'),19, 'DEFENSA','18');
INSERT INTO jugador VALUES(10433, 'Guido', 'Di maggio', 'Spinelli', TO_DATE('1997-12-25', 'YYYY-MM-DD'),20, 'DELANTERO','18');
INSERT INTO jugador VALUES(10434, 'Habacuc', 'Adipe', 'Hernandez', TO_DATE('1987-7-15', 'YYYY-MM-DD'),21, 'DEFENSA','18');
INSERT INTO jugador VALUES(10435, 'Ízan', 'Zirollo', 'Araujo', TO_DATE('1984-1-15', 'YYYY-MM-DD'),22, 'PORTERO','18');
INSERT INTO jugador VALUES(10436, 'Ángel', 'Pereira', 'Noya', TO_DATE('1983-7-12', 'YYYY-MM-DD'),23, 'MEDIOCAMPISTA','18');
INSERT INTO jugador VALUES(10437, 'Yannick', 'Dodera', 'Latorre', TO_DATE('1995-6-21', 'YYYY-MM-DD'),1, 'PORTERO','19');
INSERT INTO jugador VALUES(10438, 'Eros', 'Hourcade', 'Calvo', TO_DATE('1983-6-16', 'YYYY-MM-DD'),2, 'DEFENSA','19');
INSERT INTO jugador VALUES(10439, 'Víctor', 'Gutierrez', 'Gulla', TO_DATE('1987-11-16', 'YYYY-MM-DD'),3, 'DEFENSA','19');
INSERT INTO jugador VALUES(10440, 'Arturo', 'Di cunto', 'Marta', TO_DATE('1983-8-26', 'YYYY-MM-DD'),4, 'DEFENSA','19');
INSERT INTO jugador VALUES(10441, 'Elián', 'Fernandez', 'Ortiz', TO_DATE('1993-1-2', 'YYYY-MM-DD'),5, 'DEFENSA','19');
INSERT INTO jugador VALUES(10442, 'Guido', 'Montaner', 'Presa', TO_DATE('1991-7-27', 'YYYY-MM-DD'),6, 'MEDIOCAMPISTA','19');
INSERT INTO jugador VALUES(10443, 'Ángel', 'Fieguth', 'Burgues', TO_DATE('1996-9-11', 'YYYY-MM-DD'),7, 'MEDIOCAMPISTA','19');
INSERT INTO jugador VALUES(10444, 'Roland', 'Dini', 'Andriolo', TO_DATE('1983-4-2', 'YYYY-MM-DD'),8, 'MEDIOCAMPISTA','19');
INSERT INTO jugador VALUES(10445, 'Diego', 'Machado', 'Alonso', TO_DATE('1984-10-20', 'YYYY-MM-DD'),9, 'DELANTERO','19');
INSERT INTO jugador VALUES(10446, 'Ariel', 'Mattos', 'Trigo', TO_DATE('1996-12-3', 'YYYY-MM-DD'),10, 'DELANTERO','19');
INSERT INTO jugador VALUES(10447, 'Arturo', 'Asenjo', 'Pereyra', TO_DATE('1985-5-7', 'YYYY-MM-DD'),11, 'DELANTERO','19');
INSERT INTO jugador VALUES(10448, 'Aitor', 'Brum', 'Escursell', TO_DATE('1985-2-18', 'YYYY-MM-DD'),12, 'DEFENSA','19');
INSERT INTO jugador VALUES(10449, 'Bruno', 'Moriondo', 'Menendez', TO_DATE('1983-12-23', 'YYYY-MM-DD'),13, 'DEFENSA','19');
INSERT INTO jugador VALUES(10450, 'Juan', 'Claustre', 'De rossi', TO_DATE('1996-2-9', 'YYYY-MM-DD'),14, 'MEDIOCAMPISTA','19');
INSERT INTO jugador VALUES(10451, 'Fabricio', 'Macagno', 'Cedres', TO_DATE('1993-4-12', 'YYYY-MM-DD'),15, 'PORTERO','19');
INSERT INTO jugador VALUES(10452, 'Lucho', 'Palumbo', 'Da trindade', TO_DATE('1986-12-22', 'YYYY-MM-DD'),16, 'MEDIOCAMPISTA','19');
INSERT INTO jugador VALUES(10453, 'Ariel', 'Prats', 'Acuña', TO_DATE('1992-9-24', 'YYYY-MM-DD'),17, 'MEDIOCAMPISTA','19');
INSERT INTO jugador VALUES(10454, 'Eros', 'Nedor', 'Villamil', TO_DATE('1984-2-8', 'YYYY-MM-DD'),18, 'DEFENSA','19');
INSERT INTO jugador VALUES(10455, 'Darwin', 'Pereyra', 'Longueira', TO_DATE('1992-3-8', 'YYYY-MM-DD'),19, 'PORTERO','19');
INSERT INTO jugador VALUES(10456, 'Eric', 'Soulage', 'Santellano', TO_DATE('1990-5-13', 'YYYY-MM-DD'),20, 'PORTERO','19');
INSERT INTO jugador VALUES(10457, 'Noah', 'Mangano', 'Sejas', TO_DATE('1985-4-16', 'YYYY-MM-DD'),21, 'DELANTERO','19');
INSERT INTO jugador VALUES(10458, 'Julio', 'Cantou', 'Nunes', TO_DATE('1984-5-15', 'YYYY-MM-DD'),22, 'MEDIOCAMPISTA','19');
INSERT INTO jugador VALUES(10459, 'Gael', 'Usoz', 'Rodriguez', TO_DATE('1984-2-5', 'YYYY-MM-DD'),23, 'PORTERO','19');
INSERT INTO jugador VALUES(10460, 'Tiziano', 'Barcena', 'Alonso', TO_DATE('1986-6-7', 'YYYY-MM-DD'),1, 'PORTERO','20');
INSERT INTO jugador VALUES(10461, 'Emiliano', 'Lopez', 'Iglesias', TO_DATE('1985-7-26', 'YYYY-MM-DD'),2, 'DEFENSA','20');
INSERT INTO jugador VALUES(10462, 'Miguel', 'Pereyra', 'Vega', TO_DATE('1992-11-6', 'YYYY-MM-DD'),3, 'DEFENSA','20');
INSERT INTO jugador VALUES(10463, 'Elián', 'Blengio', 'Lucia', TO_DATE('1990-2-20', 'YYYY-MM-DD'),4, 'DEFENSA','20');
INSERT INTO jugador VALUES(10464, 'Darwin', 'Lutz', 'Cancela', TO_DATE('1990-10-5', 'YYYY-MM-DD'),5, 'DEFENSA','20');
INSERT INTO jugador VALUES(10465, 'Ciro', 'Pulleri', 'Alzugaray', TO_DATE('1994-11-18', 'YYYY-MM-DD'),6, 'MEDIOCAMPISTA','20');
INSERT INTO jugador VALUES(10466, 'Elián', 'Lopez', 'Echeverry', TO_DATE('1983-9-25', 'YYYY-MM-DD'),7, 'MEDIOCAMPISTA','20');
INSERT INTO jugador VALUES(10467, 'Acfred', 'Galan', 'Bizera', TO_DATE('1988-11-11', 'YYYY-MM-DD'),8, 'MEDIOCAMPISTA','20');
INSERT INTO jugador VALUES(10468, 'Yannick', 'Simoncelli', 'Olivera', TO_DATE('1997-5-11', 'YYYY-MM-DD'),9, 'DELANTERO','20');
INSERT INTO jugador VALUES(10469, 'Mario', 'Gonzalez', 'Seade', TO_DATE('1991-7-23', 'YYYY-MM-DD'),10, 'DELANTERO','20');
INSERT INTO jugador VALUES(10470, 'Arturo', 'De las carreras', 'Cuenca', TO_DATE('1991-2-6', 'YYYY-MM-DD'),11, 'DELANTERO','20');
INSERT INTO jugador VALUES(10471, 'Mirt', 'Baptista', 'Ruffini', TO_DATE('1990-8-25', 'YYYY-MM-DD'),12, 'DELANTERO','20');
INSERT INTO jugador VALUES(10472, 'Bruno', 'Cabral', 'Iribarne', TO_DATE('1993-10-27', 'YYYY-MM-DD'),13, 'DEFENSA','20');
INSERT INTO jugador VALUES(10473, 'Nil', 'Penco', 'Sarubbi', TO_DATE('1995-1-1', 'YYYY-MM-DD'),14, 'PORTERO','20');
INSERT INTO jugador VALUES(10474, 'Yael', 'Umpierrez', 'Lotito', TO_DATE('1992-1-22', 'YYYY-MM-DD'),15, 'DELANTERO','20');
INSERT INTO jugador VALUES(10475, 'Areu', 'Fieguth', 'Silvera', TO_DATE('1992-8-9', 'YYYY-MM-DD'),16, 'PORTERO','20');
INSERT INTO jugador VALUES(10476, 'Eric', 'Da silva', 'Gargano', TO_DATE('1988-6-5', 'YYYY-MM-DD'),17, 'DEFENSA','20');
INSERT INTO jugador VALUES(10477, 'Dylan', 'Altman', 'Del pretti', TO_DATE('1984-2-27', 'YYYY-MM-DD'),18, 'DELANTERO','20');
INSERT INTO jugador VALUES(10478, 'Diego', 'Lembo', 'Romero', TO_DATE('1989-7-4', 'YYYY-MM-DD'),19, 'MEDIOCAMPISTA','20');
INSERT INTO jugador VALUES(10479, 'Guido', 'Noguera', 'Laureiro', TO_DATE('1983-5-25', 'YYYY-MM-DD'),20, 'MEDIOCAMPISTA','20');
INSERT INTO jugador VALUES(10480, 'Leonardo', 'Arezo', 'Gonzalez', TO_DATE('1987-3-27', 'YYYY-MM-DD'),21, 'PORTERO','20');
INSERT INTO jugador VALUES(10481, 'Darwin', 'Vidaur', 'Pulleri', TO_DATE('1996-9-25', 'YYYY-MM-DD'),22, 'PORTERO','20');
INSERT INTO jugador VALUES(10482, 'Evan', 'Santurio', 'Cabrera', TO_DATE('1983-3-8', 'YYYY-MM-DD'),23, 'DEFENSA','20');
INSERT INTO jugador VALUES(10483, 'Adael', 'Elduayen', 'Figueroa', TO_DATE('1996-1-20', 'YYYY-MM-DD'),1, 'PORTERO','21');
INSERT INTO jugador VALUES(10484, 'Víctor', 'Mattos', 'Brum', TO_DATE('1987-9-17', 'YYYY-MM-DD'),2, 'DEFENSA','21');
INSERT INTO jugador VALUES(10485, 'Juan', 'Moreno', 'Sancho', TO_DATE('1996-5-14', 'YYYY-MM-DD'),3, 'DEFENSA','21');
INSERT INTO jugador VALUES(10486, 'Bruno', 'Belloso', 'Marco', TO_DATE('1987-4-6', 'YYYY-MM-DD'),4, 'DEFENSA','21');
INSERT INTO jugador VALUES(10487, 'Gael', 'Camejo', 'Garcia', TO_DATE('1986-5-26', 'YYYY-MM-DD'),5, 'DEFENSA','21');
INSERT INTO jugador VALUES(10488, 'Elián', 'Del signore', 'Barreiro', TO_DATE('1987-1-8', 'YYYY-MM-DD'),6, 'MEDIOCAMPISTA','21');
INSERT INTO jugador VALUES(10489, 'Trevor', 'Reisch', 'Leon', TO_DATE('1988-7-1', 'YYYY-MM-DD'),7, 'MEDIOCAMPISTA','21');
INSERT INTO jugador VALUES(10490, 'Andrés', 'Cuculie', 'Silveira', TO_DATE('1987-9-19', 'YYYY-MM-DD'),8, 'MEDIOCAMPISTA','21');
INSERT INTO jugador VALUES(10491, 'Sam', 'Larrosa', 'Armand  pilon', TO_DATE('1996-2-25', 'YYYY-MM-DD'),9, 'DELANTERO','21');
INSERT INTO jugador VALUES(10492, 'Bastian', 'Miller', 'Larrosa', TO_DATE('1986-4-22', 'YYYY-MM-DD'),10, 'DELANTERO','21');
INSERT INTO jugador VALUES(10493, 'Thiago', 'Braña', 'Gonnet', TO_DATE('1984-12-4', 'YYYY-MM-DD'),11, 'DELANTERO','21');
INSERT INTO jugador VALUES(10494, 'Ian', 'Gammarano', 'Vazquez', TO_DATE('1984-8-18', 'YYYY-MM-DD'),12, 'PORTERO','21');
INSERT INTO jugador VALUES(10495, 'Roland', 'Mañana', 'Boschele', TO_DATE('1993-9-22', 'YYYY-MM-DD'),13, 'DEFENSA','21');
INSERT INTO jugador VALUES(10496, 'Jerald', 'Morena', 'Perez', TO_DATE('1983-11-5', 'YYYY-MM-DD'),14, 'MEDIOCAMPISTA','21');
INSERT INTO jugador VALUES(10497, 'Elián', 'Sicco', 'Bernasconi', TO_DATE('1986-5-23', 'YYYY-MM-DD'),15, 'DELANTERO','21');
INSERT INTO jugador VALUES(10498, 'Alonso', 'Manzor', 'Antognazza', TO_DATE('1990-4-15', 'YYYY-MM-DD'),16, 'DELANTERO','21');
INSERT INTO jugador VALUES(10499, 'Bruno', 'Sandro', 'Camp', TO_DATE('1990-2-23', 'YYYY-MM-DD'),17, 'PORTERO','21');
INSERT INTO jugador VALUES(10500, 'Barad', 'Padron', 'Giacca', TO_DATE('1993-2-28', 'YYYY-MM-DD'),18, 'PORTERO','21');
INSERT INTO jugador VALUES(10501, 'Tiziano', 'Raffo', 'Vecchio', TO_DATE('1990-5-17', 'YYYY-MM-DD'),19, 'DEFENSA','21');
INSERT INTO jugador VALUES(10502, 'Sebastián', 'Bonfiglio', 'Trigo', TO_DATE('1985-5-12', 'YYYY-MM-DD'),20, 'DELANTERO','21');
INSERT INTO jugador VALUES(10503, 'Ciro', 'Obispo', 'Montans', TO_DATE('1988-5-15', 'YYYY-MM-DD'),21, 'MEDIOCAMPISTA','21');
